title,price,post_url,odometer,VIN,title status,transmission,auto_descr_short,drive,type,cylinders,idx
2009 Subaru Forester 2.5X Touring,"2,000",https://reddeer.craigslist.org/cto/d/red-deer-county-2009-subaru-forester/7501563112.html,168000,,clean,automatic,2009 subaru forester 2.5x,,,,86
2009 Subaru Forester 2.5X Touring,"2,000",https://peace.craigslist.org/cto/d/peace-river-2009-subaru-forester-25x/7501560859.html,168000,,clean,automatic,2009 Subaru Forester,,,,87
2006 ACURA rl V6,"1,400",https://calgary.craigslist.org/cto/d/calgary-2006-acura-rl-v6/7499963638.html,147693,,clean,automatic,2006 rl,,,,88
2020 Audi Q3,,https://peace.craigslist.org/ctd/d/maple-ridge-2020-audi-q3/7501588390.html,13500,,clean,automatic,2020 Audi Q3,4wd,,4 cylinders,89
2008 Toyota 4 runner,"18,500",https://calgary.craigslist.org/cto/d/calgary-2008-toyota-runner/7499992824.html,223700,,clean,automatic,2008 toyota 4runner,4wd,SUV,6 cylinders,90
1989 Ford Probe,"1,000",https://peace.craigslist.org/cto/d/dawson-creek-1989-ford-probe/7501994370.html,118985,1ZVBT21C2K5138629,salvage,manual,1989 ford probe lx,rwd,coupe,4 cylinders,91
2011 jaguar xjl,"55,000",https://calgary.craigslist.org/cto/d/calgary-2011-jaguar-xjl/7500371513.html,86000,,clean,automatic,2011 jaguar xjl,rwd,,8 cylinders,92
2015 GMC Denali HD Dually,"75,000",https://calgary.craigslist.org/ctd/d/langley-township-northwest-2015-gmc/7500494727.html,145751,,clean,automatic,2015 GMC Denali,,,,93
2003 Dodge Ram 1500 SLT,"2,650",https://calgary.craigslist.org/cto/d/calgary-2003-dodge-ram-1500-slt/7500884484.html,163025,,clean,automatic,2003 dodge ram,,,,94
1998 Mitsubishi Eclipse GST Spyder 5spd 2.0L turbo 4g63,"8,500",https://calgary.craigslist.org/cto/d/calgary-1998-mitsubishi-eclipse-gst/7500921342.html,150000,,clean,manual,1998 mitsubishi eclipse,fwd,convertible,4 cylinders,95
"2007 Toyota Previa (Estima) hybrid Van 4WD 153,000 km","12,000",https://calgary.craigslist.org/ctd/d/2007-toyota-previa-estima-hybrid-van/7497849293.html,153000,,clean,automatic,2007 Toyota Estima,4wd,mini-van,4 cylinders,96
"2007 Toyota Prius Hybrid Edition LOW Mileage 56,000 km","12,800",https://calgary.craigslist.org/ctd/d/2007-toyota-prius-hybrid-edition-low/7494867267.html,56000,,clean,automatic,2007 Toyota Prius Hybrid,,sedan,4 cylinders,97
"2003 Toyota Alphard Van LOW Mileage 35,000 km","13,500",https://calgary.craigslist.org/ctd/d/2003-toyota-alphard-van-low-mileage-km/7498022071.html,35000,,clean,automatic,2003 Toyota Alphard,,mini-van,4 cylinders,98
"2006 Toyota Hiace Turbo Diesel Van High Roof, Bubble Top 6,500 km","36,000",https://calgary.craigslist.org/ctd/d/2006-toyota-hiace-turbo-diesel-van-high/7498024934.html,6500,,clean,automatic,2006 Toyota Hiace Turbo Diesel,,van,4 cylinders,99
"2005 Toyota Alphard Hybrid Van 4WD 126,000 km","14,500",https://calgary.craigslist.org/ctd/d/richmond-2005-toyota-alphard-hybrid-van/7499656403.html,126000,,clean,automatic,2005 Toyota Alphard,4wd,mini-van,4 cylinders,100
2005 Honda CR-V EX,"1,350",https://calgary.craigslist.org/cto/d/calgary-2005-honda-cr-ex/7501227714.html,171354,,clean,automatic,2005 crv ex,,,,101
"2018 Audi TT RS 2.5T Quattro - No Accidents, One Owner, Local","85,559",https://calgary.craigslist.org/ctd/d/vancouver-2018-audi-tt-rs-25t-quattro/7501244036.html,28500,,clean,automatic,2018 audi tt,,,,102
2008 Nissan Altima 3.5 SE Coupe,"5,000",https://calgary.craigslist.org/cto/d/calgary-2008-nissan-altima-35-se-coupe/7501302025.html,300000,,clean,automatic,2008 nissan altima 3.5 se,fwd,coupe,6 cylinders,103
2009 Audi R8 Fully Tuned new parts,"88,500",https://calgary.craigslist.org/cto/d/calgary-2009-audi-r8-fully-tuned-new/7500316267.html,99500,,rebuilt,automatic,2009 audi r8,rwd,coupe,8 cylinders,104
RUST FREE 1986 ONE&1/4 TON CHEV 4X4,"14,000",https://calgary.craigslist.org/cto/d/kelowna-rust-free-1986-one1-ton-chev-4x4/7501683647.html,65000,,clean,automatic,1986 CHEVROLET,,,,105
2018 Grand Cherokee SRT  .. 9/10 .. Gold Plan 5/100,"79,998",https://calgary.craigslist.org/ctd/d/calgary-2018-grand-cherokee-srt-gold/7501877803.html,42000,,clean,automatic,2018 jeep grand cherokee srt,4wd,,8 cylinders,106
· S type Jaguar 2003 Excellent shape -,"5,750",https://calgary.craigslist.org/cto/d/parksville-type-jaguar-2003-excellent/7496667729.html,196000,,clean,automatic,2003 S type Jaguar,,sedan,6 cylinders,107
20189 GMC Denali H.D. Diesel,"75,000",https://lethbridge.craigslist.org/cto/d/lethbridge-southeast-gmc-denali-hd/7502225159.html,128000,,clean,automatic,2018 GMC Denali H.D.,4wd,pickup,8 cylinders,108
2001 Gmc Sierra 2500 HD 4x4,"2,400",https://reddeer.craigslist.org/cto/d/red-deer-2001-gmc-sierra-2500-hd-4x4/7502251760.html,169515,,clean,automatic,2001 gmc sierra 2500hd,,,,109
2007 Acura tl v6,"1,700",https://calgary.craigslist.org/cto/d/calgary-2007-acura-tl-v6/7502040655.html,160367,,clean,automatic,2007 acura,,,,110
2011 RAM 5500 - 9FT DUMP TRUCK / STAKE BED *6.7L CUMMINS 4X4*ONLY 147K,"61,900",https://calgary.craigslist.org/ctd/d/coquitlam-2011-ram-ft-dump-truck-stake/7500913228.html,147000,,clean,automatic,2011 RAM 5500,4wd,truck,6 cylinders,111
2012 FORD F750 - 21FT ROLLBACK TOW TRUCK *6.7L CUMMINS* HYD BRAKES ***,"89,900",https://calgary.craigslist.org/ctd/d/coquitlam-2012-ford-ft-rollback-tow/7497786315.html,276000,,clean,manual,2012 FORD F750,rwd,truck,6 cylinders,112
2007 WORKHORSE W42 - UTILITY / SERVICE STEP VAN *ONLY 71K* EX: HYDRO,"43,900",https://calgary.craigslist.org/ctd/d/coquitlam-2007-workhorse-w42-utility/7502049286.html,71000,,clean,automatic,2007 workhorse w42 step van,rwd,truck,8 cylinders,113
2009 GMC Sierra 3500 HD - UTILITY TRUCK *2WD* 6.0L VORTEC V8 GAS* 192K,"22,900",https://calgary.craigslist.org/ctd/d/coquitlam-2009-gmc-sierra-3500-hd/7492034962.html,192000,,clean,automatic,2009 GMC Sierra 3500 HD,rwd,truck,8 cylinders,114
2016 FORD F550 - 12FT FLAT BED TRUCK *TOMMY GATE* DIESEL 4X4 160K*RARE,"67,900",https://calgary.craigslist.org/ctd/d/coquitlam-2016-ford-ft-flat-bed-truck/7502060758.html,160000,,clean,automatic,2016 FORD F550,4wd,truck,8 cylinders,115
2012 FORD F550 - 42FT BUCKET TRUCK *ARTICULATED/INSULATED* DIESEL 4X4,"86,900",https://calgary.craigslist.org/ctd/d/coquitlam-2012-ford-ft-bucket-truck/7492033830.html,163000,,clean,automatic,2012 FORD F550,4wd,truck,8 cylinders,116
2004 FORD E350 - 33FT BUCKET VAN *MTI BOOM* BOOM CERTIFIED / ONLY 227K,"33,900",https://calgary.craigslist.org/ctd/d/coquitlam-2004-ford-ft-bucket-van-mti/7492026665.html,227000,,clean,automatic,2004 FORD E350,rwd,truck,8 cylinders,117
2007 FREIGHTLINER M2 112 - SIDE DUMP W/ REAR HIAB CRANE *TANDEM AXLE*,"39,900",https://calgary.craigslist.org/ctd/d/coquitlam-2007-freightliner-side-dump/7492024022.html,435000,,clean,automatic,2007 FREIGHTLINER M2 112,rwd,truck,6 cylinders,118
2006 FORD F550 UTILITY / SERVICE TRUCK *ONLY 167K* DIESEL* 2WD*,"26,900",https://calgary.craigslist.org/ctd/d/coquitlam-2006-ford-f550-utility/7491815749.html,167000,,clean,automatic,2006 FORD F550,rwd,truck,8 cylinders,119
2012 FORD F650 XL - 16FT FLAT BED TRUCK *CUMMINS DIESEL 240HP* 128K MI,"52,900",https://calgary.craigslist.org/ctd/d/coquitlam-2012-ford-f650-xl-16ft-flat/7502076675.html,128000,,clean,automatic,2012 FORD F650,rwd,truck,6 cylinders,120
2018 RAM 3500 SLT,"37,500",https://ftmcmurray.craigslist.org/cto/d/fort-mcmurray-outer-central-2018-ram/7498668702.html,365,,clean,automatic,2018 ram 3500,,truck,,121
Acura TL 2011 SH-AWD,"15,000",https://edmonton.craigslist.org/cto/d/edmonton-acura-tl-2011-sh-awd/7484190509.html,139000,,clean,automatic,2011 acura tl sh-awd w/tech,4wd,,6 cylinders,122
