title,price,post_url,odometer,VIN,title status,transmission,auto_descr_short,drive,type,cylinders,idx
2014 Dodge Ram 1500 Longhorn,"32,000",https://reddeer.craigslist.org/cto/d/red-deer-2014-dodge-ram-1500-longhorn/7492622154.html,156000,,clean,automatic,2014 dodge ram 1500,4wd,truck,8 cylinders,29
2010 F150 Ford 4x4,"8,000",https://edmonton.craigslist.org/cto/d/drayton-valley-2010-f150-ford-4x4/7488438637.html,267000,,clean,automatic,2010 2010 ford f150 supercrew,4wd,truck,8 cylinders,30
"2020 MERCEDES-BENZ AMG G63 GWAGON! LIKE NEW, NO CLAIMS, LOCAL BC CAR!","319,900",https://edmonton.craigslist.org/ctd/d/langley-city-2020-mercedes-benz-amg-g63/7488670234.html,10000,,clean,automatic,2020 Mercedes-Benz AMG G63,4wd,SUV,8 cylinders,31
1989 Chevrolet Astro Camper,"3,500",https://edmonton.craigslist.org/cto/d/north-vancouver-1989-chevrolet-astro/7488754663.html,300000,,clean,automatic,1989 chevrolet astro,rwd,,4 cylinders,32
4x4 GMC Sierra Upgraded Mint Condition,"8,497",https://edmonton.craigslist.org/cto/d/edmonton-4x4-gmc-sierra-upgraded-mint/7488838588.html,212000,,clean,automatic,2002 gmc sierra 2500hd,fwd,truck,8 cylinders,33
2021 MERCEDES-BENZ AMG G63 GWAGON! RARE COLOR COMBO! CUSTOM STARLIGHT!,"359,900",https://edmonton.craigslist.org/ctd/d/langley-city-2021-mercedes-benz-amg-g63/7489082800.html,8100,,clean,automatic,2021 Mercedes-Benz AMG G63,4wd,SUV,8 cylinders,34
Classic 83 Mercedes Benz turbo diesel,"2,000",https://edmonton.craigslist.org/cto/d/edmonton-classic-83-mercedes-benz-turbo/7489376829.html,267563,,clean,automatic,1983 mercedes benz c300,rwd,sedan,5 cylinders,35
"2018 Range Rover hse luxury diesel! loaded luxury, rare find","47,509",https://edmonton.craigslist.org/ctd/d/edmonton-2018-range-rover-hse-luxury/7489559306.html,118000,,clean,other,2018 land rover discovery,,,,36
Nissan Pathfinder 2013,"22,000",https://edmonton.craigslist.org/cto/d/edmonton-nissan-pathfinder-2013/7489672168.html,105,,clean,automatic,2013 nissan pathfinder 4x4 sl,fwd,SUV,6 cylinders,37
Mercedes Benz G63 AMG,,https://edmonton.craigslist.org/ctd/d/abbotsford-southwest-mercedes-benz-g63/7478998829.html,13500,,clean,automatic,2021 mercedes benz g63 amg,4wd,,8 cylinders,38
2017 MERCEDES-BENZ G550 4X4 SQUARED! LOCAL BC! OWN A PIECE OF HISTORY!,"269,900",https://edmonton.craigslist.org/ctd/d/langley-city-2017-mercedes-benz-g550/7490655838.html,54000,,clean,automatic,2017 Mercedes-Benz G550 4x4 Squared,4wd,SUV,8 cylinders,39
2021 FORD F-150 LIMITED POWERBOOST HYBRID! SKIP THE WAITLIST!,"104,900",https://edmonton.craigslist.org/ctd/d/langley-city-2021-ford-150-limited/7491092600.html,11900,,clean,automatic,2021 Ford F-150 Limited,4wd,truck,6 cylinders,40
2008 Mitsubishi Outlander LS,"13,500",https://edmonton.craigslist.org/cto/d/edmonton-2008-mitsubishi-outlander-ls/7483392460.html,161555,,clean,automatic,2008 mitsubishi outlander,4wd,SUV,6 cylinders,41
2015 Mercedes GLA250,"26,491",https://edmonton.craigslist.org/ctd/d/edmonton-2015-mercedes-gla250/7491786469.html,68055,,clean,automatic,2015 mercedes gla250,,,,42
Nissan X-Trail with Cargo Trailer,"14,500",https://reddeer.craigslist.org/cto/d/ponoka-nissan-trail-with-cargo-trailer/7494987076.html,247500,,rebuilt,manual,2005 Nissan X-Trail,4wd,SUV,4 cylinders,43
2016 HONDA ACCORD,"19,000",https://edmonton.craigslist.org/cto/d/edmonton-2016-honda-accord/7492120458.html,113000,,clean,automatic,2016 2016 Honda Civic,fwd,coupe,4 cylinders,44
"2014 Dodge Challenger RT SHAKER  .. Only 36,000 kms","37,887",https://edmonton.craigslist.org/ctd/d/edmonton-2014-dodge-challenger-rt/7480322908.html,36000,,clean,automatic,2014 dodge charger r/t,rwd,,8 cylinders,45
2014 Dodge Ram 2500 HD,"19,500",https://edmonton.craigslist.org/cto/d/edmonton-2014-dodge-ram-2500-hd/7489959616.html,230000,,clean,automatic,2014 dodge ram,4wd,truck,8 cylinders,46
2002 Chevy Trailblazer LT 4WD,"3,000",https://regina.craigslist.org/cto/d/regina-north-central-2002-chevy/7496106545.html,300000,1GNDT13S522256614,clean,automatic,2002 chevy trailblazer,4wd,SUV,6 cylinders,47
Honda accord 2011,"8,500",https://edmonton.craigslist.org/cto/d/edmonton-honda-accord-2011/7493133625.html,199000,,rebuilt,automatic,2011 honda accord,fwd,sedan,6 cylinders,48
1994 Checy CK 1500,"1,204",https://regina.craigslist.org/cto/d/regina-south-saskatchewan-provincial/7496191699.html,115515,,clean,automatic,1994 Chevy 1500,,,,49
2002 GMC Sierra,"18,000",https://edmonton.craigslist.org/cto/d/bonnyville-2002-gmc-sierra/7493138572.html,96000,,clean,automatic,2002 gmc sierra,rwd,pickup,8 cylinders,50
Classic Car.,"8,000",https://edmonton.craigslist.org/cto/d/edmonton-classic-car/7493445811.html,149000,,clean,automatic,1993 jaguar xj6,,sedan,,51
Beautiful 97 tahoe,"8,500",https://edmonton.craigslist.org/cto/d/north-central-alberta-beautiful-97-tahoe/7493610104.html,445450,,clean,automatic,1997 chevrolet tahoe,rwd,SUV,8 cylinders,52
2007 western star,"70,000",https://edmonton.craigslist.org/cto/d/edmonton-2007-western-star/7493894975.html,815000,,clean,manual,2007 2007 western star,,truck,,53
